Nazov obce;Nazov okresu;Nazov kraja,
Vyskovce nad Iplom;Okres Levice;Nitriansky,
Vysna Boca;Okres Liptovsky Mikulas;Zilinsky,
Vysna Hutka;Okres Kosice - okolie;Kosicky,
Vysna Jablonka;Okres Humenne;Presovsky,
Vysna Jedlova;Okres Svidnik;Presovsky,
Vysna Kamenica;Okres Kosice - okolie;Kosicky,
Vysna Mysla;Okres Kosice - okolie;Kosicky,
Vysna Olsava;Okres Stropkov;Presovsky,
Vysna Pisana;Okres Svidnik;Presovsky,
Vysna Polianka;Okres Bardejov;Presovsky,
Vysna Rybnica;Okres Sobrance;Kosicky,
Vysna Sitnica;Okres Humenne;Presovsky,
Vysna Slana;Okres Roznava;Kosicky,
Vysna Sebastova;Okres Presov;Presovsky,
Vysna Vola;Okres Bardejov;Presovsky,
Vysne Ladickovce;Okres Humenne;Presovsky,
Vysne nad Hronom;Okres Levice;Nitriansky,
Vysne Nemecke;Okres Sobrance;Kosicky,
Vysne Remety;Okres Sobrance;Kosicky,
Vysne Repase;Okres Levoca;Presovsky,
Vysne Ruzbachy;Okres Stara Lubovna;Presovsky,
Vysne Valice;Okres Rimavska Sobota;Banskobystricky,
Vysny Caj;Okres Kosice - okolie;Kosicky,
Vysny Hrabovec;Okres Stropkov;Presovsky,
Vysny Hrusov;Okres Humenne;Presovsky,
Vysny Kazimir;Okres Vranov nad Toplou;Presovsky,
Vysny Klatov;Okres Kosice - okolie;Kosicky,
Vysny Komarnik;Okres Svidnik;Presovsky,
Vysny Krucov;Okres Bardejov;Presovsky,
Vysny Kubin;Okres Dolny Kubin;Zilinsky,
Vysny Medzev;Okres Kosice - okolie;Kosicky,
Vysny Mirosov;Okres Svidnik;Presovsky,
Vysny Orlik;Okres Svidnik;Presovsky,
Vysny Skalnik;Okres Rimavska Sobota;Banskobystricky,
Vysny Slavkov;Okres Levoca;Presovsky,
Vysny Tvarozec;Okres Bardejov;Presovsky,
Vysny Zipov;Okres Vranov nad Toplou;Presovsky,
Zabiedovo;Okres Tvrdosin;Zilinsky,
Zaborie;Okres Martin;Zilinsky,
Zaborske;Okres Presov;Presovsky,
Zadiel;Okres Kosice - okolie;Kosicky,
Zador;Okres Rimavska Sobota;Banskobystricky,
Zahor;Okres Sobrance;Kosicky,
Zahorce;Okres Velky Krtis;Banskobystricky,
Zahorie (vojensky obvod);Okres Malacky;Bratislavsky,
Zahorska Ves;Okres Malacky;Bratislavsky,
Zahradne;Okres Presov;Presovsky,
Zacharovce;Okres Rimavska Sobota;Banskobystricky,
Zakamenne;Okres Namestovo;Zilinsky,
Zakopcie;Okres Cadca;Zilinsky,
Zalaba;Okres Levice;Nitriansky,
Zalesie, okres Kezmarok;Okres Kezmarok;Presovsky
Zalesie, okres Senec;Okres Senec;Bratislavsky
Zaluzice;Okres Michalovce;Kosicky,
Zamarovce;Okres Trencin;Trenciansky,
Zamutov;Okres Vranov nad Toplou;Presovsky,
Zariecie;Okres Puchov;Trenciansky,
Zaskalie;Okres Povazska Bystrica;Trenciansky,
Zatin;Okres Trebisov;Kosicky,
Zavada, okres Humenne;Okres Humenne;Presovsky
Zavada, okres Topolcany;Okres Topolcany;Nitriansky
Zavada, okres Velky Krtis;Okres Velky Krtis;Banskobystricky
Zavadka nad Hronom;Okres Brezno;Banskobystricky,
Zavadka, okres Gelnica;Okres Gelnica;Kosicky
Zavadka, okres Humenne;Okres Humenne;Presovsky
Zavadka, okres Michalovce;Okres Michalovce;Kosicky
Zavar;Okres Trnava;Trnavsky,
Zavazna Poruba;Okres Liptovsky Mikulas;Zilinsky,
Zavod;Okres Malacky;Bratislavsky,
Zazriva;Okres Dolny Kubin;Zilinsky,
Zbehnov;Okres Trebisov;Kosicky,
Zbehy;Okres Nitra;Nitriansky,
Zboj;Okres Snina;Presovsky,
Zbojne;Okres Medzilaborce;Presovsky,
Zborov;Okres Bardejov;Presovsky,
Zborov nad Bystricou;Okres Cadca;Zilinsky,
Zbrojniky;Okres Levice;Nitriansky,
Zbudska Bela;Okres Medzilaborce;Presovsky,
Zbudske Dlhe;Okres Humenne;Presovsky,
Zbudza;Okres Michalovce;Kosicky,
Zbynov;Okres Zilina;Zilinsky,
Zelenec;Okres Trnava;Trnavsky,
Zemianska Olca;Okres Komarno;Nitriansky,
Zemianske Kostolany;Okres Prievidza;Trenciansky,
Zemianske Podhradie;Okres Nove Mesto nad Vahom;Trenciansky,
Zemianske Sady;Okres Galanta;Trnavsky,
Zemiansky Vrbovok;Okres Krupina;Banskobystricky,
Zemne;Okres Nove Zamky;Nitriansky,
Zemplin;Okres Trebisov;Kosicky,
Zemplinska Nova Ves;Okres Trebisov;Kosicky,
Zemplinska Siroka;Okres Michalovce;Kosicky,
Zemplinska Teplica;Okres Trebisov;Kosicky,
Zemplinske Hamre;Okres Snina;Presovsky,
Zemplinske Hradiste;Okres Trebisov;Kosicky,
Zemplinske Jastrabie;Okres Trebisov;Kosicky,
Zemplinske Kopcany;Okres Michalovce;Kosicky,
Zemplinsky Branc;Okres Trebisov;Kosicky,
Zlata Bana;Okres Presov;Presovsky,
Zlata Idka;Okres Kosice - okolie;Kosicky,
Zlate;Okres Bardejov;Presovsky,
Zlate Klasy;Okres Dunajska Streda;Trnavsky,
Zlate Moravce;Okres Zlate Moravce;Nitriansky,
Zlatna na Ostrove;Okres Komarno;Nitriansky,
Zlatnik;Okres Vranov nad Toplou;Presovsky,
Zlatniky;Okres Banovce nad Bebravou;Trenciansky,
Zlatno, okres Poltar;Okres Poltar;Banskobystricky
Zlatno, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky
Zliechov;Okres Ilava;Trenciansky,
Zohor;Okres Malacky;Bratislavsky,
Zombor;Okres Velky Krtis;Banskobystricky,
Zubak;Okres Puchov;Trenciansky,
Zuberec;Okres Tvrdosin;Zilinsky,
Zubne;Okres Humenne;Presovsky,
Zubrohlava;Okres Namestovo;Zilinsky,
Zvolen;Okres Zvolen;Banskobystricky,
Zvolenska Slatina;Okres Zvolen;Banskobystricky,
Zvoncin;Okres Trnava;Trnavsky,
Zabokreky;Okres Martin;Zilinsky,
Zabokreky nad Nitrou;Okres Partizanske;Trenciansky,
Zakarovce;Okres Gelnica;Kosicky,
Zakovce;Okres Kezmarok;Presovsky,
Zalobin;Okres Vranov nad Toplou;Presovsky,
Zarnov;Okres Kosice - okolie;Kosicky,
Zarnovica;Okres Zarnovica;Banskobystricky,
Zaskov;Okres Dolny Kubin;Zilinsky,
Zbince;Okres Michalovce;Kosicky,
Zdana;Okres Kosice - okolie;Kosicky,
Zdiar;Okres Poprad;Presovsky,
Zehna;Okres Presov;Presovsky,
Zehra;Okres Spisska Nova Ves;Kosicky,
Zelezna Breznica;Okres Zvolen;Banskobystricky,
Zeleznik;Okres Svidnik;Presovsky,
Zeliezovce;Okres Levice;Nitriansky,
Zelmanovce;Okres Svidnik;Presovsky,
Zelovce;Okres Velky Krtis;Banskobystricky,
Zemberovce;Okres Levice;Nitriansky,
Zemliare;Okres Levice;Nitriansky,
Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky,
Ziar, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Ziar, okres Revuca;Okres Revuca;Banskobystricky
Zibritov;Okres Krupina;Banskobystricky,
Ziharec;Okres Sala;Nitriansky,
Zikava;Okres Zlate Moravce;Nitriansky,
Zilina;Okres Zilina;Zilinsky,
Zip;Okres Rimavska Sobota;Banskobystricky,
Zipov;Okres Presov;Presovsky,
Zirany;Okres Nitra;Nitriansky,
Zitavany;Okres Zlate Moravce;Nitriansky,
Zitavce;Okres Nitra;Nitriansky,
Zitna-Radisa;Okres Banovce nad Bebravou;Trenciansky,
Zlkovce;Okres Hlohovec;Trnavsky,
Zupcany;Okres Presov;Presovsky,
Zupkov;Okres Zarnovica;Banskobystricky,
